turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,1455.3385856374762,191001.84518774983,93220.09776809602,73
1,1,337.21940664402325,54830.30695617643,34240.08634092517,73
1,2,189.21683877948342,47278.052071436934,17817.340465847174,73
1,3,300.71715081473656,61137.7678043535,25582.615386070574,73
1,4,628.1851893992329,27755.71835578296,15580.055575253096,73
2,0,1765.1619162226953,301678.2546753179,110680.28558326625,0
2,1,228.97059120993117,92344.28262496338,41931.56306676079,0
2,2,144.94215772753648,79593.90387089924,20950.8139780264,0
2,3,336.38978610375165,99019.64511558194,29997.327739587723,0
2,4,1054.859381181476,30720.423063873397,17800.580798891333,0
3,0,1343.8778202991887,337457.57956232294,123356.14291849396,0
3,1,243.79932440763,106859.29443582646,47621.28287677181,0
3,2,96.07917914176069,83875.69225208883,22623.712089285214,0
3,3,232.0855355401654,111636.16056437162,33934.32456865849,0
3,4,771.9137812096326,35086.432310036005,19176.82338377844,0
4,0,1379.853005374866,350015.9330880464,130905.5547891208,0
4,1,286.152875110692,111849.87335721805,51046.99274272834,0
4,2,117.34713793785458,85952.7412151195,23031.624911863593,0
4,3,267.98611921284987,113115.15545901761,36673.36978231868,0
4,4,708.3668731134694,39098.163056691206,20153.567352210186,0
