turn,player,budget,action1,action2,action3,action4,action5,action6
1,1,71,Collect frequency:2,Maintenance of water treatment facilities:false
1,2,26,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high
1,3,30,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:high
1,4,21,Collect frequency:4,Maintenance of water treatment facilities:false,Help farmers to buy manure:high
2,1,48,Collect frequency:4,Maintenance of water treatment facilities:false
2,2,45,Collect frequency:4,Maintenance of water treatment facilities:false
2,3,51,Collect frequency:4,Maintenance of water treatment facilities:false
2,4,75,Collect frequency:4,Maintenance of water treatment facilities:false
3,1,3,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:low,Organise sensibilization events about waste sorting
3,2,18,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:low
3,3,3,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:low,Organise sensibilization events about waste sorting
3,4,16,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:high
