turn,player,budget,action1,action2,action3,action4,action5,action6
1,1,11,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Organise sensibilization events about waste sorting,Help farmers to reduce pesticides use
1,2,2,Collect frequency:2,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Drain and dredge:high,Trimestrial collective waste collection:low
1,3,36,Collect frequency:2,Maintenance of water treatment facilities:false,Trimestrial collective waste collection:low,Help farmers to buy manure:low,Organise sensibilization events about waste sorting
1,4,7,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:low,Trimestrial collective waste collection:high,Organise sensibilization events about waste sorting
2,1,5,Collect frequency:4,Maintenance of water treatment facilities:false,Drain and dredge:high,Help farmers to buy manure:low
2,2,9,Collect frequency:4,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Organise sensibilization events about waste sorting,Drain and dredge:low
2,3,1,Collect frequency:7,Maintenance of water treatment facilities:false,Help farmers to buy manure:low,Trimestrial collective waste collection:low
2,4,0,Collect frequency:2,Maintenance of water treatment facilities:false,Drain and dredge:high,Organise sensibilization events about waste sorting,Trimestrial collective waste collection:low
