turn,player,productivity,solid_pollution,water_pollution
1,0,89.446180855007,97055.73669793378,29177.0936156382
1,1,89.91338733791682,33672.885371550234,11495.908514481434
1,2,87.36609094776813,16285.023344786934,5322.923150038165
1,3,89.46184425548375,32105.609917230795,6841.2513895059465
1,4,91.0434008788593,14992.218064365816,5517.010561612655
2,0,85.96747400223701,163162.26059174674,32845.97927359637
2,1,86.78953930493377,57190.56073734431,13000.36210124091
2,2,81.89462677111243,27924.275430793437,6297.568851182935
2,3,85.94644417535325,52729.7242375596,7513.813598553496
2,4,89.23928575754861,25317.7001860494,6034.234722619028
