turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,1401.8482323015362,251129.58368379553,56129.42131170954,75
1,1,293.50324506636434,84634.14183562473,20554.011342701844,75
1,2,347.93589784552273,51014.48221731345,10800.805371249602,75
1,3,366.65391630647287,79906.82525497384,15256.13727488991,75
1,4,393.7551730831763,35574.134375883514,9518.467322868184,75
2,0,1254.7954547546574,395351.0724031739,57138.65891962382,7
2,1,256.446587572402,138472.27948983895,21284.557049435683,7
2,2,323.38083007116154,73399.60591828002,10546.865024047998,7
2,3,312.14339462664077,124796.45871378163,14833.48792469832,7
2,4,362.82464248445314,58682.728281273274,10473.748921441813,7
3,0,1039.9041863380762,464127.43878542044,56047.37967442869,0
3,1,197.36644941268602,167897.58679503138,20471.480570229854,0
3,2,216.4103899241607,86462.54288371756,9560.067756966455,0
3,3,272.33030457515684,144830.58741270826,14454.790910580641,0
3,4,353.7970424260726,64936.72169396324,11561.04043665174,0
4,0,1248.335673936042,349982.438574255,51820.421393299606,0
4,1,235.3039382864816,133592.02790818881,18510.802880993582,0
4,2,358.7276632969794,52926.76876760298,7445.418782303648,0
4,3,317.22408330310014,92883.51668927209,13148.115045922188,0
4,4,337.079989049481,70580.12520919109,12716.084684080193,0
5,0,1206.1695505370897,345895.1169928445,53841.163350544615,0
5,1,218.59448403305063,132830.53521181789,19249.261202855472,0
5,2,360.2851589966749,53098.26968376079,7114.867077616919,0
5,3,299.2538437906076,90465.37800035783,13883.82714449314,0
5,4,328.03606371675636,69500.93409690793,13593.207925579081,0
