turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,1635.9433648784047,190174.03210213035,92962.06331330526,75
1,1,360.647464661823,54933.36744292673,34107.85612312648,75
1,2,236.0067541444639,47481.306442731,17706.268864254955,75
1,3,355.12606357002517,60373.02387002938,25381.455823109925,75
1,4,684.1630825020927,27386.334346443255,15766.482502813895,75
2,0,1932.5679228887093,242249.4669872251,110239.05458555432,3
2,1,418.94984183024224,75284.89150569447,41772.1589729935,3
2,2,211.16521106569581,59350.465081140705,20834.136644399397,3
2,3,364.3725595736083,79224.22743411972,29649.091187561815,3
2,4,938.0803104191627,28389.882966270216,17983.667780599604,3
