turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,1034.103892659964,152552.65891253162,93469.05869467964,75
1,1,229.04098042554614,47020.91422874382,34175.874309171566,75
1,2,180.76333661268566,38009.79540824912,17762.442411794495,75
1,3,237.4275560664923,48881.59324293295,25416.83703662348,75
1,4,386.87201955523983,18640.35603260571,16113.904937090083,75
2,0,999.4574084022031,210198.5015745717,83451.37010320781,37
2,1,224.88241470552134,69088.9207509871,30452.090686753658,37
2,2,211.42163271482414,35156.702517640355,16395.034510709833,37
2,3,231.89815876624291,75815.61759432884,22403.992639171287,37
2,4,331.25520221561476,30137.260711615418,14200.252266573032,37
3,0,1094.2409913015588,205029.01589254432,68467.37711404439,48
3,1,264.72296293254885,60662.50162204768,24550.575242467276,48
3,2,199.82977223009658,52051.401633063564,12806.018879067526,48
3,3,282.5217293763593,61215.40492383671,18986.36190600004,48
3,4,347.16652676255393,31099.70771359637,12124.421086509548,48
4,0,1161.1142810718318,170594.6578986774,38733.42057821275,73
4,1,281.78646501179094,57330.519377694734,12947.194124188649,73
4,2,276.16759902836094,32120.48231373869,8055.976824256277,73
4,3,282.1495747903244,46616.830073361816,11099.47255028832,73
4,4,321.0106422413556,34526.82613388215,6630.7770794795015,73
5,0,1205.8647446779396,144275.32101967686,37968.37296221292,74
5,1,274.5929755527114,53609.24529565074,12665.487718524277,74
5,2,331.7534085925171,19832.047863679363,7328.978202784684,74
5,3,296.5859651488606,42597.77668374362,11497.506182788662,74
5,4,302.9323953838504,28236.25117660313,6476.4008581152975,74
6,0,1354.2491674149546,123443.49878168253,38645.08512324825,74
6,1,270.851622851014,46055.742018195575,12940.703573567322,74
6,2,377.78970307688314,16469.189093596895,7188.425760435097,74
6,3,359.98066241835164,34863.362845743846,11895.362314117012,74
6,4,345.62717906870586,26055.20482414622,6620.59347512882,74
