turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,5388.165206174952,189356.4332970104,92650.56978624834,75
1,1,1096.2699248170466,54499.12859774727,33736.86897712566,75
1,2,1421.7815940085463,47137.91419616478,17776.36237126953,75
1,3,1440.7803442243996,59824.902661054584,25406.53133105408,75
1,4,1429.3333431249594,27894.487842043767,15730.807106799068,75
2,0,5245.926896197705,315966.3356692884,108777.76470066815,2
2,1,1054.7319743083724,91702.54044891491,40716.08742283153,2
2,2,1392.9158738923195,78911.7117208055,20868.177088188502,2
2,3,1405.928157249759,97994.77306814305,29411.35101364409,2
2,4,1392.350890747254,47357.310431424914,17782.149176004037,2
3,0,5124.45515304517,417692.0945028443,120166.20499810005,0
3,1,1015.2004241711044,123334.94218119512,46039.56025336137,0
3,2,1381.1502815406536,102718.15792480708,22504.54997041171,0
3,3,1373.0817288205794,128257.47141037548,32797.07019077669,0
3,4,1355.0227185128326,63381.522986466654,18825.02458355027,0
4,0,4979.931590397534,503102.15788835555,129934.07151904548,0
4,1,959.8825100421637,150964.20316861098,50348.18158545995,0
4,2,1370.5687414830315,120694.42514702977,23609.820901033065,0
4,3,1335.151201095094,153440.99010364446,35920.36493289164,0
4,4,1314.3291377772446,78002.53946907041,20055.704099660823,0
5,0,4840.01357526093,577229.3550171284,138755.6527489054,0
5,1,908.1564324543526,175746.26146409794,54281.125795959524,0
5,2,1362.3567787919567,135037.08800565513,24521.251350715826,0
5,3,1294.6094155593023,175113.71883649996,38965.477683282974,0
5,4,1274.8909484553185,91332.28671087537,20987.797918947104,0
6,0,4700.120292290315,645250.9873181027,147844.2614794675,0
6,1,857.6634964539272,199039.72226138925,58322.58340502035,0
6,2,1343.5829411487164,147443.58841296623,25782.369160688984,0
6,3,1260.4160955579391,194606.9769093661,41795.23247596948,0
6,4,1238.457759129732,104160.69973438117,21944.07643778871,0
7,0,4576.6824405209245,705209.8745162041,154664.08818859662,0
7,1,819.2978453349111,219656.0926055711,61111.75507669157,0
7,2,1329.4661864280383,157597.90616043986,26536.45081400989,0
7,3,1217.5885414642873,211552.36383976747,44074.20749573241,0
7,4,1210.3298672936876,116403.51191042557,22941.674802162783,0
