turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,5388.165206174955,190472.59430085574,92724.92685471106,75
1,1,1096.2699248170459,55520.12925513557,33946.89026212345,75
1,2,1421.7815940085468,45720.77569065654,17484.215588571493,75
1,3,1440.7803442244021,61785.465182829386,25572.516103353508,75
1,4,1429.3333431249596,27446.224172234237,15721.304900662595,75
2,0,4772.372513004555,323813.743265631,110320.08392863294,2
2,1,951.0822509159995,94631.66079201136,40898.248966526575,2
2,2,1327.4639470283098,77507.48406037595,20880.70216664561,2
2,3,1238.1252142087392,103050.32761896608,29794.725293393603,2
2,4,1255.7011008515065,48624.27079427766,18746.407502067148,2
3,0,4772.372513004555,440501.92985048826,124545.29640488682,0
3,1,951.0822509159995,129153.56654217729,46608.10759902101,0
3,2,1327.4639470283098,103181.69596269552,22574.94255110324,0
3,3,1238.1252142087392,138795.91877750133,33552.80772823848,0
3,4,1255.7011008515065,69370.74856811414,21809.438526524096,0
4,0,4498.715907092573,547286.8240204486,137346.13736904738,0
4,1,802.6644516162311,161287.90511626235,51485.16429074074,0
4,2,1233.680452415358,125628.39903436645,23901.788780462044,0
4,3,1228.960798469841,170955.89991531783,37564.40025743243,0
4,4,1233.410204591143,89414.619954502,24394.784040412163,0
5,0,4122.265480881689,651530.6282941073,151288.85586673013,0
5,1,789.7531221918823,192247.6799670285,56552.288729907516,0
5,2,1233.680452415358,145954.62581848612,25402.16732141436,0
5,3,1008.8723094937963,201530.66559152643,41757.06646573479,0
5,4,1089.9595967806522,111797.65691706623,27577.33334967345,0
6,0,3820.05936340436,757133.0590963655,164470.39546589277,0
6,1,621.425802437798,225020.94053582812,61353.46650302009,0
6,2,1143.9873352463328,163402.22421195696,26429.13114205503,0
6,3,1001.3313911317201,233898.61607945565,46385.52710011182,0
6,4,1053.3148345885088,134811.27826912468,30302.270720705823,0
7,0,3457.1677010325384,866842.0587084217,179794.83888079404,0
7,1,588.1746603599388,256781.751446395,66739.95184758412,0
7,2,1143.9873352463328,181151.0962747417,28701.680829850222,0
7,3,817.5984534119298,269081.52551146364,51360.42239620107,0
7,4,907.407252014337,159827.68547582143,32992.78380715861,0
8,0,3152.733272137406,974530.4588157556,192652.1079700192,0
8,1,424.4738954114184,289159.9545614375,71281.41664820975,0
8,2,1025.179688379849,197769.2523110959,30371.589048096455,0
8,3,807.7108673600701,304612.6738499387,56427.92181329279,0
8,4,895.3688209860682,182988.5780932834,34571.18046042017,0
