turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,5388.165206174955,189202.2117481583,92919.24085123627,75
1,1,1096.2699248170463,54979.760040490146,33972.85517447249,75
1,2,1421.7815940085475,46222.57518223934,17732.950793018437,75
1,3,1440.7803442244,60520.06630761315,25360.684371837924,75
1,4,1429.33334312496,27479.810217815655,15852.750511907423,75
2,0,4772.372513004554,313198.0533545353,107044.35579948589,2
2,1,951.082250916,91173.05474706169,39477.78526244593,2
2,2,1327.4639470283103,77384.58188188588,21130.743360698852,2
2,3,1238.1252142087376,97709.757108394,28279.851802120833,2
2,4,1255.7011008515062,46930.659617193756,18155.975374220277,2
